Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitude;Latitude;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
5350051;9;01/04/2021 10:15:00;Strada Urbana;VIA SATRICO;all'intersezione semaforizzata con;VIA ACAIA;VIA ACAIA;;;Investimento di pedone;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;12.5082;41.8768;-1;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
5350051;9;01/04/2021 10:15:00;Strada Urbana;VIA SATRICO;all'intersezione semaforizzata con;VIA ACAIA;VIA ACAIA;;;Investimento di pedone;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;12.5082;41.8768;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5350065;6;01/04/2021 11:40:00;Strada Urbana;VIA TOLMEZZO;da specificare;;;;pross. Via Montona;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;;0;0;0;1;12.55;41.8976;-1;1;Autovettura privata;Allontanatosi;;;;;;;
5350065;6;01/04/2021 11:40:00;Strada Urbana;VIA TOLMEZZO;da specificare;;;;pross. Via Montona;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;;0;0;0;1;12.55;41.8976;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5350138;10;01/04/2021 14:10:00;Strada Urbana;VIA PONZIO COMINIO;in corrispondenza;;del civico n.;29;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;12.5578;41.8605;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5350138;10;01/04/2021 14:10:00;Strada Urbana;VIA PONZIO COMINIO;in corrispondenza;;del civico n.;29;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;12.5578;41.8605;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5350151;12;01/04/2021 12:40:00;Strada Urbana;VIA MAR DELLA CINA;in prossimità;;del civico n.;304;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;;0;0;0;4;12.4344;41.8079;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
5350151;12;01/04/2021 12:40:00;Strada Urbana;VIA MAR DELLA CINA;in prossimità;;del civico n.;304;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;;0;0;0;4;12.4344;41.8079;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5350151;12;01/04/2021 12:40:00;Strada Urbana;VIA MAR DELLA CINA;in prossimità;;del civico n.;304;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;;0;0;0;4;12.4344;41.8079;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
5350151;12;01/04/2021 12:40:00;Strada Urbana;VIA MAR DELLA CINA;in prossimità;;del civico n.;304;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;;0;0;0;4;12.4344;41.8079;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
